RAM,8192
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,7168
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,6144
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,5120
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,4096
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,3072
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,2048
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

RAM,1024
METHOD,1,2,3,4,5,6,7,8,9,10
Precopy,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Postcopy,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,
Hybrid,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,

